recclass,count,obs_cv,obs_varlog,obs_mad_ratio,obs_n,total_survived,z_null1_cv,p_null1_cv,surv_null1_cv,z_null1_varlog,p_null1_varlog,surv_null1_varlog,z_null1_mad_ratio,p_null1_mad_ratio,surv_null1_mad_ratio,z_null2_cv,p_null2_cv,surv_null2_cv,z_null2_varlog,p_null2_varlog,surv_null2_varlog,z_null2_mad_ratio,p_null2_mad_ratio,surv_null2_mad_ratio,z_null3_cv,p_null3_cv,surv_null3_cv,z_null3_varlog,p_null3_varlog,surv_null3_varlog,z_null3_mad_ratio,p_null3_mad_ratio,surv_null3_mad_ratio,z_null4_cv,p_null4_cv,surv_null4_cv,z_null4_varlog,p_null4_varlog,surv_null4_varlog,z_null4_mad_ratio,p_null4_mad_ratio,surv_null4_mad_ratio,z_null5_cv,p_null5_cv,surv_null5_cv,z_null5_varlog,p_null5_varlog,surv_null5_varlog,z_null5_mad_ratio,p_null5_mad_ratio,surv_null5_mad_ratio
Mesosiderite,136,4.899626723402749,8.083546365036048,0.984062059238364,136,0,-0.6595424227919247,0.52,False,1.8696981337649887,0.08,False,1.8343744384788683,0.0,False,-0.6023417149959458,0.62,False,0.8288908072639136,0.42,False,0.6739517418154685,0.44,False,-0.26546925201226995,0.96,False,2.1360632042619687,0.08,False,0.6892096325304093,0.46,False,-0.7216258582681613,0.58,False,1.0408000484728197,0.26,False,0.6276857907899279,0.48,False,-0.41856399489981827,0.88,False,0.8113009865193852,0.52,False,0.5336911098540874,0.6,False
CK4,75,4.57919931908902,5.961022585011746,0.927007299270073,75,0,-0.4200592325843892,0.86,False,-0.3065133322033163,0.8,False,0.03685346723230434,1.0,False,-0.22249448970553548,0.94,False,0.3795951095211349,0.52,False,-0.20025646638014716,0.86,False,-0.39973799702526785,0.82,False,0.46434879939435,0.64,False,-0.37962086517076127,0.72,False,-0.44827374842441037,0.78,False,0.09397589552069915,0.88,False,-0.14803256626150454,0.98,False,-0.22249448970553548,0.94,False,0.3795951095211337,0.52,False,-0.20025646638014716,0.86,False
"Iron, IAB-MG",83,4.978313801485462,6.688425322583066,0.9067546583850932,83,0,-0.24066568679536657,1.0,False,0.2273933799151428,0.74,False,-0.5924040562378966,0.52,False,0.10225120938323179,0.82,False,5.099929048835854,0.0,False,3.697702612390659,0.0,False,-0.24378335430067577,0.94,False,4.101081059254977,0.0,False,1.9603486812937667,0.08,False,-0.0467274460138854,0.8,False,5.295463809050789,0.0,False,3.8155769879710077,0.0,False,0.10225120938323179,0.82,False,5.099929048835852,0.0,False,3.697702612390658,0.0,False
Iron,76,4.160955062839606,11.318392352955792,0.9846330275229357,76,0,-0.4632075667351328,0.82,False,4.559155844442463,0.0,False,1.6341742795834862,0.0,False,-0.3284342803980658,0.86,False,3.4423249803801586,0.02,False,0.13005956645097494,0.94,False,-0.420980736476357,0.9,False,0.8399784946368097,0.38,False,-0.009426658467278134,0.96,False,-0.3473194928402638,0.9,False,3.1684700388879077,0.0,False,0.3103264202729461,0.84,False,-0.3284342803980658,0.86,False,3.4423249803801603,0.02,False,0.1300595664510222,0.94,False
L3.5,88,6.028705937225252,4.960451336799211,0.8875000000000001,88,0,0.2147269472389551,0.78,False,-1.4296028831183247,0.1,False,-1.1572910567843973,0.24,False,0.30489634513199104,0.64,False,-0.37268731344945566,0.88,False,-1.2443505340020449,0.24,False,0.36136942285870016,0.66,False,0.04909800340140069,0.88,False,-1.0392690579076205,0.26,False,0.19228840989496152,0.88,False,-0.23280219066241317,0.92,False,-1.0621829787241273,0.36,False,0.30489634513199104,0.64,False,-0.37268731344945566,0.88,False,-1.2443505340020387,0.24,False
"Iron, ungrouped",113,6.045479589373152,12.59970871586248,0.994,113,0,0.07567524541154039,0.78,False,6.163771762824801,0.0,False,2.1011394577342233,0.0,False,0.17692478832005346,0.78,False,7.856794008683367,0.0,False,2.3313682279592127,0.0,False,0.41005693297278933,0.56,False,3.6686294636400354,0.0,False,1.3837656567661993,0.22,False,0.2083194525616842,0.84,False,6.2599498784000485,0.0,False,2.202093572850945,0.0,False,0.27949814892986313,0.7,False,6.395651270981937,0.0,False,1.9228326147072812,0.0,False
"Iron, IIAB",117,6.687555569568358,7.2812540938018255,0.9612745098039216,117,0,0.2568378134826661,0.74,False,1.0332223596902737,0.28,False,1.108314696803325,0.22,False,0.19914704473890515,0.8,False,5.1103332730316,0.0,False,2.4273723419065645,0.0,False,0.4000072768639117,0.62,False,2.9970252631562886,0.0,False,1.4043741726307881,0.18,False,0.30515868251144324,0.64,False,6.069418267152709,0.0,False,2.574156087759667,0.0,False,0.3493480121038247,0.66,False,4.438410395020162,0.0,False,2.1312635943455622,0.0,False
H,82,6.265453604993182,7.156472178328821,0.9457823991884352,82,0,0.6571765573328318,0.5,False,0.8062180670118524,0.4,False,0.57647458760713,0.62,False,0.626298288226875,0.52,False,0.20380177133439853,0.84,False,-0.22489927337689572,0.88,False,0.3791732868214454,0.64,False,-1.325253575980974,0.24,False,-0.22827285438572933,0.78,False,0.6017900822198355,0.52,False,-0.21106000596321264,0.96,False,-0.2576081713689167,0.82,False,0.6262982882268756,0.52,False,0.20380177133439853,0.84,False,-0.2248992733768849,0.88,False
Aubrite,63,5.960150158471746,11.580652845638692,0.9768605378361477,63,0,0.8261627805886343,0.46,False,4.210055551870106,0.0,False,1.4082790619985954,0.1,False,1.0025518309854544,0.34,False,3.0252437284205125,0.0,False,-1.3054135961675462,0.22,False,0.7359243974855215,0.42,False,1.7645727389657988,0.16,False,-1.3585362694088905,0.08,False,1.0444162159289152,0.38,False,2.525775639207847,0.04,False,-1.493249020929259,0.14,False,1.0025518309854538,0.34,False,3.0252437284205143,0.0,False,-1.3054135961675652,0.22,False
"Iron, IVA",67,6.878253931029109,5.121989321036759,0.8695652173913043,67,0,1.2398460630953387,0.24,False,-0.8806090695464504,0.38,False,-1.603875006893404,0.18,False,1.4034291352117148,0.26,False,2.3770705582247826,0.04,False,1.9990232135981054,0.04,False,1.229447746781897,0.3,False,0.31110821971400504,0.64,False,0.18942218888254858,0.86,False,1.5257459840252539,0.22,False,1.9956083917576033,0.12,False,2.203379583876956,0.02,False,1.4034291352117148,0.26,False,2.3770705582247817,0.04,False,1.9990232135981054,0.04,False
EL6,72,2.9610860292217596,5.824726359355314,0.9293931953700456,72,0,-1.394734001343099,0.08,False,-0.5342224261630611,0.7,False,0.10016360487637799,0.98,False,-1.100690550172607,0.26,False,-0.5443131034178961,0.66,False,0.22041538497257565,0.98,False,-1.2396906729143855,0.24,False,-1.0806403406694285,0.26,False,0.23470615841860018,0.86,False,-1.0677139455623117,0.2,False,-0.851478840842148,0.38,False,0.04294634636342102,0.98,False,-1.1006905501726074,0.26,False,-0.5443131034178952,0.66,False,0.22041538497257565,0.98,False
H4-6,67,3.6188537066686943,4.879780468843685,0.9021226415094339,67,0,-0.9553681642912122,0.38,False,-1.1282370714096872,0.22,False,-0.39147424342845044,0.56,False,-0.7548943325930487,0.48,False,-0.9875428198446755,0.34,False,-0.2798379558455917,0.74,False,-0.15416258955871745,0.92,False,0.264092400534464,0.74,False,-0.2469587680550805,0.7,False,-0.5650680590843075,0.82,False,-0.9606058394576362,0.3,False,-0.32067150480934764,0.66,False,-0.7548943325930491,0.48,False,-0.9875428198446766,0.34,False,-0.27983795584557514,0.74,False
L4/5,59,2.763779353622449,4.224894901821359,0.8621794871794872,59,0,-1.0343290268321759,0.36,False,-1.4296961009931053,0.1,False,-1.312028776483647,0.28,False,-1.1011397623131367,0.22,False,-1.5053477650518785,0.1,False,-0.6028917619807777,0.56,False,-0.5342922278769504,0.68,False,-0.39848842746346214,0.76,False,-0.541881667690292,0.5,False,-0.97067237353002,0.36,False,-1.1075968065102186,0.24,False,-0.632856764601971,0.56,False,-1.1011397623131365,0.22,False,-1.5053477650518785,0.1,False,-0.602891761980775,0.56,False
Achondrite-ung,57,2.475706186713125,5.192069082946794,0.875,57,0,-1.440144988090774,0.08,False,-0.8443908135043234,0.46,False,-1.2066826468641476,0.24,False,-1.2312763251148844,0.1,False,-0.14083141191653584,0.92,False,-0.7235121572501465,0.44,False,-0.9277971934117042,0.36,False,0.5373596978163384,0.52,False,-1.0711603701672847,0.28,False,-1.129310376001053,0.28,False,-0.059988776280014054,0.86,False,-0.8741997026562255,0.42,False,-1.2312763251148844,0.1,False,-0.14083141191653584,0.92,False,-0.7235121572501465,0.44,False
"Iron, IAB complex",51,3.009584780141517,10.753058617064038,0.9922651933701657,51,0,-0.9490170674548752,0.34,False,3.193304178927023,0.0,False,1.561847832437998,0.0,False,-0.7471293221956902,0.54,False,4.851748046037897,0.0,False,1.693122540848996,0.0,False,-0.7122381919795542,0.62,False,3.7506236827194424,0.0,False,1.64924443785537,0.0,False,-0.43674254822435954,0.86,False,5.693217101083301,0.0,False,1.8211668671161023,0.0,False,-0.7471293221956902,0.54,False,4.8517480460379,0.0,False,1.693122540848996,0.0,False
L,50,2.072056694171784,6.767766652932425,0.9632755681818181,50,0,-1.524322856396909,0.14,False,0.15773940987974933,0.8,False,0.8467320371312657,0.4,False,-1.395022964977326,0.04,False,-0.329798965617782,0.84,False,0.5553361648155372,0.54,False,-1.5856814136879667,0.02,False,-1.562920824663046,0.06,False,0.4342976708798136,0.56,False,-1.450534709048046,0.06,False,-0.6724066173328501,0.54,False,0.8429045424042036,0.42,False,-1.395022964977326,0.04,False,-0.329798965617782,0.84,False,0.555336164815564,0.54,False
