recclass,count,unique_names,shannon_obs,shannon_null_mean,shannon_null_std,shannon_effect,shannon_zscore,shannon_pvalue,simpson_obs,simpson_null_mean,simpson_null_std,simpson_effect,simpson_zscore,simpson_pvalue,shannon_fdr_q,simpson_fdr_q
CK3/4,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CK4,75,75,4.31748811353631,4.317488113536311,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.9866666666666667,0.9866666666666665,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,1.0,1.0
CK4-an,3,3,1.0986122886681096,1.0986122886681091,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
CK4/5,12,12,2.4849066497880004,2.484906649788001,4.440892098500626e-16,-4.440892098500626e-16,-1.0,1.0,0.9166666666666666,0.9166666666666665,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
CK5,94,94,4.543294782270004,4.543294782270004,0.0,0.0,0.0,1.0,0.9893617021276596,0.9893617021276595,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
CK5/6,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
CK6,17,17,2.833213344056216,2.8332133440562166,4.440892098500626e-16,-4.440892098500626e-16,-1.0,1.0,0.9411764705882353,0.9411764705882354,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
CM,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
CM-an,2,2,0.6931471805599453,0.6931471805599454,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
CM1,19,19,2.9444389791664407,2.9444389791664416,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.9473684210526316,0.9473684210526316,0.0,0.0,0.0,1.0,1.0,1.0
CM1/2,18,18,2.8903717578961645,2.890371757896164,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.9444444444444444,0.9444444444444445,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
CM2,416,416,6.030685260261264,6.030685260261263,8.881784197001252e-16,8.881784197001252e-16,1.0,1.0,0.9975961538461539,0.9975961538461539,0.0,0.0,0.0,1.0,1.0,1.0
CM2-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CO3,335,335,5.814130531825067,5.814130531825067,0.0,0.0,0.0,1.0,0.9970149253731343,0.9970149253731345,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,1.0,1.0
CO3 ,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CO3.0,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
CO3.1,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
CO3.2,8,8,2.0794415416798357,2.0794415416798357,0.0,0.0,0.0,1.0,0.875,0.875,0.0,0.0,0.0,1.0,1.0,1.0
CO3.3,7,7,1.9459101490553132,1.9459101490553128,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.8571428571428572,0.8571428571428574,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,1.0,1.0
CO3.4,5,5,1.6094379124341005,1.6094379124340998,6.661338147750939e-16,6.661338147750939e-16,1.0,1.0,0.7999999999999999,0.8,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
CO3.5,12,12,2.4849066497880004,2.484906649788001,4.440892098500626e-16,-4.440892098500626e-16,-1.0,1.0,0.9166666666666666,0.9166666666666665,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
