metric,grade,bootstrap_mean,ci_low,ci_high
varlog,3,5.147991500454194,4.853982632710539,5.46929808584088
varlog,4,5.892867384604993,5.686966946163277,6.092574302798164
varlog,5,5.535666250943614,5.386538450853051,5.667009029562744
varlog,6,5.36360773033046,5.236826428184365,5.495009349709754
mad,3,0.36356792911216995,0.3446264342668993,0.3821952372529281
mad,4,0.5144982420577058,0.4984393746336174,0.529904823573145
mad,5,0.47973615800966,0.4681360894358306,0.49175439536083665
mad,6,0.45386192361411715,0.4448045069687685,0.46295115906388074
